2024-03-28T17:09:52.448 | INFO | [ejemplo_2_logging.py] | [25] | ¡Hola Mundo!
2024-03-28T17:09:52.448 | ERROR | [ejemplo_2_logging.py] | [26] | Mqtt Local connection faild
2024-03-28T17:09:52.449 | WARNING | [ejemplo_2_logging.py] | [27] | No se pudo enviar el paquete MQTT
2024-03-28T17:13:55.581 | INFO | [ejemplo_2_logging.py] | [25] | ¡Hola Mundo!
2024-03-28T17:13:55.581 | ERROR | [ejemplo_2_logging.py] | [26] | Mqtt Local connection faild
2024-03-28T17:13:55.582 | WARNING | [ejemplo_2_logging.py] | [27] | No se pudo enviar el paquete MQTT
2024-03-28T17:35:49.572 | INFO | [ejemplo_3_signals_logging.py] | [76] | Mqtt Local conectado
2024-03-28T17:35:49.572 | INFO | [ejemplo_3_signals_logging.py] | [100] | Comienza thread procesamiento_local
2024-03-28T17:35:49.977 | INFO | [ejemplo_3_signals_logging.py] | [135] | Mqtt Remoto conectado
2024-03-29T11:49:24.733 | INFO | [ejemplo_3_signals_logging.py] | [127] | Termina thread procesamiento_local
2024-03-29T12:29:27.388 | INFO | [ejemplo_4_monitoreo.py] | [253] | Lanzar thread de procesamiento de MQTT local
2024-03-29T12:29:27.389 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T12:29:27.390 | INFO | [ejemplo_4_monitoreo.py] | [100] | Comienza thread procesamiento_local
2024-03-29T12:29:27.390 | INFO | [ejemplo_4_monitoreo.py] | [257] | Lanzar thread de procesamiento de MQTT remoto
2024-03-29T12:29:27.392 | INFO | [ejemplo_4_monitoreo.py] | [155] | Comienza thread procesamiento_remoto
2024-03-29T12:29:27.753 | INFO | [ejemplo_4_monitoreo.py] | [135] | Mqtt Remoto conectado
2024-03-29T12:32:32.903 | INFO | [ejemplo_4_monitoreo.py] | [195] | Señal de terminar programa
2024-03-29T12:32:33.282 | INFO | [ejemplo_4_monitoreo.py] | [269] | Comenzando la finalización de los threads...
2024-03-29T12:32:33.283 | INFO | [ejemplo_4_monitoreo.py] | [127] | Termina thread procesamiento_local
2024-03-29T12:32:33.285 | INFO | [ejemplo_4_monitoreo.py] | [184] | Termina thread procesamiento_remoto
2024-03-29T12:32:35.780 | INFO | [ejemplo_4_monitoreo.py] | [254] | Lanzar thread de procesamiento de MQTT local
2024-03-29T12:32:35.781 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T12:32:35.781 | INFO | [ejemplo_4_monitoreo.py] | [101] | Comienza thread procesamiento_local
2024-03-29T12:32:35.781 | INFO | [ejemplo_4_monitoreo.py] | [258] | Lanzar thread de procesamiento de MQTT remoto
2024-03-29T12:32:35.784 | INFO | [ejemplo_4_monitoreo.py] | [156] | Comienza thread procesamiento_remoto
2024-03-29T12:32:35.945 | INFO | [ejemplo_4_monitoreo.py] | [136] | Mqtt Remoto conectado
2024-03-29T12:36:21.110 | INFO | [ejemplo_4_monitoreo.py] | [196] | Señal de terminar programa
2024-03-29T12:36:21.120 | INFO | [ejemplo_4_monitoreo.py] | [128] | Termina thread procesamiento_local
2024-03-29T12:36:21.148 | INFO | [ejemplo_4_monitoreo.py] | [270] | Comenzando la finalización de los threads...
2024-03-29T12:36:21.150 | INFO | [ejemplo_4_monitoreo.py] | [185] | Termina thread procesamiento_remoto
2024-03-29T12:36:31.108 | INFO | [ejemplo_4_monitoreo.py] | [254] | Lanzar thread de procesamiento de MQTT local
2024-03-29T12:36:31.110 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T12:36:31.113 | INFO | [ejemplo_4_monitoreo.py] | [101] | Comienza thread procesamiento_local
2024-03-29T12:36:31.113 | INFO | [ejemplo_4_monitoreo.py] | [258] | Lanzar thread de procesamiento de MQTT remoto
2024-03-29T12:36:31.120 | INFO | [ejemplo_4_monitoreo.py] | [156] | Comienza thread procesamiento_remoto
2024-03-29T12:36:31.272 | INFO | [ejemplo_4_monitoreo.py] | [136] | Mqtt Remoto conectado
2024-03-29T12:47:12.655 | INFO | [ejemplo_4_monitoreo.py] | [196] | Señal de terminar programa
2024-03-29T12:47:13.056 | INFO | [ejemplo_4_monitoreo.py] | [128] | Termina thread procesamiento_local
2024-03-29T12:47:13.263 | INFO | [ejemplo_4_monitoreo.py] | [270] | Comenzando la finalización de los threads...
2024-03-29T12:47:13.265 | INFO | [ejemplo_4_monitoreo.py] | [185] | Termina thread procesamiento_remoto
2024-03-29T12:47:18.337 | INFO | [ejemplo_4_monitoreo.py] | [255] | Lanzar thread de procesamiento de MQTT local
2024-03-29T12:47:18.338 | INFO | [ejemplo_4_monitoreo.py] | [101] | Comienza thread procesamiento_local
2024-03-29T12:47:18.338 | INFO | [ejemplo_4_monitoreo.py] | [259] | Lanzar thread de procesamiento de MQTT remoto
2024-03-29T12:47:18.339 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T12:47:18.339 | INFO | [ejemplo_4_monitoreo.py] | [157] | Comienza thread procesamiento_remoto
2024-03-29T12:47:18.703 | INFO | [ejemplo_4_monitoreo.py] | [137] | Mqtt Remoto conectado
2024-03-29T13:17:40.425 | INFO | [ejemplo_5_keepalive.py] | [259] | Lanzar thread de procesamiento de MQTT local
2024-03-29T13:17:40.426 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:17:40.426 | INFO | [ejemplo_5_keepalive.py] | [101] | Comienza thread procesamiento_local
2024-03-29T13:17:40.427 | INFO | [ejemplo_5_keepalive.py] | [263] | Lanzar thread de procesamiento de MQTT remoto
2024-03-29T13:17:40.428 | INFO | [ejemplo_5_keepalive.py] | [157] | Comienza thread procesamiento_remoto
2024-03-29T13:17:40.592 | INFO | [ejemplo_5_keepalive.py] | [136] | Mqtt Remoto conectado
2024-03-29T13:17:41.429 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:17:42.455 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:17:43.458 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:17:44.515 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:17:45.520 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:17:46.524 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:17:47.528 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:17:48.529 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:17:49.532 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:17:50.534 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:17:51.536 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:17:52.538 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:17:53.539 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:17:54.543 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:17:55.546 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:17:56.549 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:17:57.552 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
